state,code,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment
AL,00102400,University Of West Alabama,Alabama,2384585,4135471,7266000,13786056,0
GA,00551100,Coastal Pines Technical College,Georgia,1758137,4368692,7653000,13779829,0
NY,00282100,Saint John Fisher College,New York,2681804,3994698,7039000,13715502,0
MT,00253000,Montana State University - Billings,Montana,2193195,4180539,7339000,13712734,0
NY,00288300,Utica College,New York,2388832,4099539,7224000,13712371,24796000
NC,00933600,Johnston Community College,North Carolina,2258380,4152736,7290000,13701116,0
LA,00201200,Louisiana State University At Eunice,Louisiana,2060199,4236259,7391000,13687458,0
FL,00151500,Rollins College,Florida,2692112,3898553,7085000,13675665,379841000
AL,00100400,University Of Montevallo,Alabama,2560001,4041651,7060000,13661652,0
TN,00348600,Lipscomb University,Tennessee,2582024,3982698,7074000,13638722,0
RI,00341000,Roger Williams University,Rhode Island,2629911,3959064,7041000,13629975,86049000
MA,00214600,Emerson College,Massachusetts,2734314,3921763,6964000,13620077,0
IA,00840300,Indian Hills Community College,Iowa,2199657,4137403,7264000,13601060,0
OK,00318500,University Of Tulsa (The),Oklahoma,2645588,3954569,7000000,13600157,0
NC,00291600,Chowan University,North Carolina,2614325,4018655,6964000,13596980,0
MS,00243600,Southwest Mississippi Community College,Mississippi,2320170,4117342,7158000,13595512,0
OK,00317900,Southeastern Oklahoma State University,Oklahoma,2118149,4153547,7287000,13558696,0
TX,04263600,Northeast Lakeview College,Texas,1343444,4407215,7799000,13549659,0
NC,00296100,Sandhills Community College,North Carolina,2033057,4181526,7335000,13549583,0
MD,00210700,Stevenson University,Maryland,2499743,4005614,7033000,13538357,0
NY,00678800,Tompkins Cortland Community College,New York,1845177,4215523,7470000,13530700,0
SC,00681500,Orangeburg - Calhoun Technical College,South Carolina,1996646,4204932,7325000,13526578,0
WI,00383900,Carthage College,Wisconsin,2668496,3851906,6990000,13510402,111496000
VA,00681900,Blue Ridge Community College,Virginia,1862031,4228308,7418000,13508339,0
MA,00222600,Western New England University,Massachusetts,2684604,3915648,6902000,13502252,56683000
KY,00527300,Gateway Community And Technical College,Kentucky,1797783,4249192,7444000,13490975,0
CA,00927200,Crafton Hills College,California,1933930,4149254,7390000,13473184,0
MA,00212400,Bentley University,Massachusetts,2665628,3883553,6918000,13467181,0
MN,00235400,Hamline University,Minnesota,2570227,3943823,6945000,13459050,100550000
MO,00250200,Southwest Baptist University,Missouri,2301587,4056193,7100000,13457780,0
MI,00230200,Northwestern Michigan College,Michigan,2124216,4118115,7197000,13439331,0
CA,02332800,Center For Employment Training,California,2223425,4089677,7122000,13435102,0
OR,00319400,George Fox University,Oregon,2589776,3921838,6923000,13434614,0
NY,00281600,Siena College,New York,2620637,3899632,6853000,13373269,0
MD,00207100,Frederick Community College,Maryland,1851890,4147691,7351000,13350581,0
MD,02073900,Wor-Wic Community College,Maryland,1860894,4183209,7303000,13347103,0
RI,00340600,Providence College,Rhode Island,2699566,3830403,6812000,13341969,234228000
IN,00793800,Lincoln College Of Technology,Indiana,13341054,0,0,13341054,0
NY,00269900,Clarkson University,New York,2590707,3872273,6845000,13307980,201698000
OR,00322400,University Of Portland,Oregon,2672004,3830681,6796000,13298685,0
MO,00250000,College Of The Ozarks,Missouri,2518807,3934298,6838000,13291105,476624000
OR,00321100,Oregon Institute Of Technology,Oregon,1807273,4145176,7337000,13289449,0
CA,00126700,Merritt College,California,1497283,4233724,7541000,13272007,0
PA,00322900,Albright College,Pennsylvania,2569568,3863482,6801000,13234050,77103000
MI,00224100,Calvin University,Michigan,2639029,3829529,6764000,13232558,176538000
MD,00207800,Loyola University Maryland,Maryland,2612460,3800541,6789000,13202001,0
FL,00884900,Palm Beach Atlantic University,Florida,2363047,3920083,6904000,13187130,85236000
NC,00294200,Livingstone College,North Carolina,2503063,3910216,6771000,13184279,0
MN,00575700,Lake Superior College,Minnesota,1757151,4132002,7292000,13181153,0
PA,00339400,Wilkes University,Pennsylvania,2403446,3896453,6879000,13178899,54044000
NC,00293300,High Point University,North Carolina,2605940,3731389,6826000,13163329,0
TN,00399900,Cleveland State Community College,Tennessee,1970716,4067122,7121000,13158838,0
VA,00498800,Central Virginia Community College,Virginia,1817818,4111607,7215000,13144425,0
MN,00553700,South Central College,Minnesota,1873482,4096933,7173000,13143415,0
LA,00200400,Dillard University,Louisiana,2442809,3903275,6762000,13108084,0
AL,00103100,Northeast Alabama Community College,Alabama,1901781,4075756,7117000,13094537,0
ME,00527600,Central Maine Community College,Maine,1882719,4059822,7081000,13023541,0
TX,00357300,Hill College,Texas,1336557,4231488,7454000,13022045,0
OK,00317200,Oklahoma State University Institute Of Technology - Okmulgee,Oklahoma,2248014,3918800,6839000,13005814,0
MS,00239700,Belhaven University,Mississippi,2204818,3919675,6880000,13004493,0
TN,00351800,Southern Adventist University,Tennessee,2443809,3826927,6704000,12974736,46402000
CA,00130200,Saint Mary'S College Of California,California,2525736,3766129,6662000,12953865,181313000
MO,00245300,Central Methodist University,Missouri,1766287,3984117,7192000,12942404,0
MN,00905800,Bethel University,Minnesota,2452828,3803833,6679000,12935661,0
IA,00458700,Northeast Iowa Community College,Iowa,1835580,4009002,7056000,12900582,0
TX,00993000,University Of Texas Of The Permian Basin,Texas,1840016,4007546,7050000,12897562,0
IL,00173500,North Park University,Illinois,2332872,3834812,6712000,12879684,0
NY,00290300,Yeshiva University,New York,2479795,3711922,6680000,12871717,665001000
LA,00201100,Louisiana State University At Alexandria,Louisiana,1998555,3959812,6911000,12869367,0
PA,00323500,Arcadia University,Pennsylvania,2563133,3728760,6577000,12868893,82645000
SC,00342300,"Citadel, The Military College Of South Carolina",South Carolina,2499158,3698438,6663000,12860596,0
KY,00199000,Ashland Community And Technical College,Kentucky,1897125,3997808,6961000,12855933,0
VA,03091300,Regent University,Virginia,1567327,4071730,7153000,12792057,0
OH,00302300,Capital University,Ohio,2486868,3710353,6534000,12731221,106663000
OH,01104600,Central Ohio Technical College,Ohio,1667250,4014980,7042000,12724230,0
CA,00130900,Taft College,California,1122910,4175867,7421000,12719777,0
GA,00561700,South Georgia Technical College,Georgia,1870108,3954455,6883000,12707563,0
MI,00231000,St. Clair County Community College,Michigan,1909478,3923106,6873000,12705584,0
PA,00328300,Lackawanna College,Pennsylvania,1885348,3937122,6882000,12704470,0
NC,00295100,North Carolina Wesleyan College,North Carolina,2177353,3837299,6674000,12688652,0
