state,code,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment
AZ,00108100,Arizona State University,Arizona,63533137,112906424,197920000,374359561,922000000
FL,00150600,Miami Dade College,Florida,49074737,100313671,175095000,324483408,486000000
FL,00395400,University Of Central Florida,Florida,51071250,88785992,155326000,295183242,162000000
PA,00332900,Pennsylvania State University (The),Pennsylvania,54994846,84967674,149782000,289744520,4000000000
NJ,00262900,"Rutgers, The State University Of New Jersey",New Jersey,54160640,83956947,147525000,285642587,1476000000
IN,00991700,Ivy Tech Community College Of Indiana,Indiana,33040571,87521884,154176000,274738455,0
GA,00157400,Georgia State University,Georgia,45243852,81991625,143227000,270462477,0
CA,00115300,"California State University, Northridge",California,44652328,74004088,128804000,247460416,119000000
FL,00963500,Florida International University,Florida,38301957,70899027,124068000,233268984,218700000
CA,00113700,"California State University, Fullerton",California,41021512,67736949,118108000,226866461,81700000
CA,00113900,"California State University, Long Beach",California,41729439,67421424,117424000,226574863,79400000
OH,00309000,Ohio State University (The),Ohio,42885215,65158493,115136000,223179708,5290000000
TX,00363200,Texas A&M University,Texas,39816443,61084220,108020000,208920663,13514528000
CA,00114000,"California State University, Los Angeles",California,37914166,61905561,107504000,207323727,46200000
TX,00365200,University Of Houston,Texas,36703283,61804527,108166000,206673810,960000000
TX,01063300,Houston Community College,Texas,28294391,64722987,113378000,206395378,10200000
WA,00379800,University Of Washington - Seattle,Washington,39715956,59684404,105672000,205072360,6000000000
TX,01114500,Lone Star College System,Texas,28823255,63217876,111568000,203609131,0
CA,00115000,California State University - Sacramento,California,35734362,59891260,104257000,199882622,51200000
FL,00153700,University Of South Florida,Florida,34839748,58187541,102066000,195093289,532000000
TX,00359900,University Of Texas - Rio Grande Valley,Texas,34334258,58007276,100923000,193264534,46130000
FL,00675000,Valencia College,Florida,27682203,59512739,104037000,191231942,72500000
FL,00150000,Broward College,Florida,27154901,58986552,103056000,189197453,62200000
CA,00131400,"University Of California, Irvine",California,36731629,54737221,95771000,187239850,1030000000
CA,00131500,"University Of California, Los Angeles",California,35906870,52623807,92570000,181100677,5390000000
CA,00131700,"University Of California, San Diego",California,34889769,52015747,91170000,178075516,2300000000
NY,00269100,Cuny Borough Of Manhattan Community College,New York,26420828,55218492,95999000,177638320,0
CA,00114700,"California State University, Fresno",California,32802107,52725317,91631000,177158424,0
CA,00131300,"University Of California, Davis",California,33871763,51521569,90298000,175691332,1660000000
TX,00361500,Texas State University,Texas,31791509,52142552,91252000,175186061,95400000
UT,00367000,Brigham Young University,Utah,32272986,50333740,88121000,170727726,1970000000
FL,00153500,University Of Florida,Florida,31046411,49578739,87513000,168138150,1850000000
TX,01011500,University Of Texas At San Antonio,Texas,29656887,49567034,86529000,165752921,172000000
TX,00365800,University Of Texas At Austin,Texas,31462321,48376958,85475000,165314279,30100000000
CA,00114400,"California State Polytechnic University, Pomona",California,30904089,48614353,84673000,164191442,101599000
AZ,00108300,University Of Arizona,Arizona,30953447,47971859,84385000,163310306,1038133000
TX,00359400,University Of North Texas,Texas,29018088,47854595,83851000,160723683,210624000
TX,00362600,Tarrant County College District,Texas,21984486,49701915,87484000,159170401,0
CA,00115400,San Francisco State University,California,28725948,47404409,82743000,158873357,137080000
IL,00177600,University Of Illinois at Chicago,Illinois,29874590,47074555,81725000,158674145,2353000000
CA,00131600,"University Of California, Riverside",California,29734626,46440300,80888000,157062926,259800000
CA,00115500,San Jose State University,California,28769546,46631939,81613000,157014485,153212000
MI,00229000,Michigan State University,Michigan,29836588,45964753,80773000,156574341,3033279000
GA,00157700,Kennesaw State University,Georgia,27911927,46559603,81512000,155983530,40300000
CA,00131200,"University Of California, Berkeley",California,30440627,45429825,80102000,155972452,0
CA,00115100,San Diego State University,California,29394934,45914127,80465000,155774061,353334000
IL,00177500,University Of Illinois at Urbana-Champaign,Illinois,31448178,44619241,79046000,155113419,2353000000
FL,00148900,Florida State University,Florida,29339828,45382413,79899000,154621241,704106000
PA,00337100,Temple University,Pennsylvania,28740378,44242362,77788000,150770740,644089000
UT,00402700,Utah Valley University,Utah,22949207,45611519,79919000,148479726,34800000
TX,00366100,University Of Texas At El Paso,Texas,24827599,43769137,76258000,144854736,241700000
CA,00114200,"California State University, San Bernardino",California,26243781,42438131,73768000,142449912,44900000
VA,00372700,Northern Virginia Community College,Virginia,20028703,44142743,77919000,142090446,0
MN,00396900,University Of Minnesota,Minnesota,25794123,40211125,71645000,137650248,3951464000
TX,03103400,South Texas College,Texas,20022398,42189602,73775000,135987000,0
TX,00364400,Texas Tech University,Texas,25515252,39788865,69984000,135288117,1316660000
FL,02151900,Keiser University,Florida,21190626,41666816,71133000,133990442,0
NC,00297500,University Of North Carolina at Charlotte,North Carolina,24310557,39537542,69257000,133105099,230352000
OH,00312500,University Of Cincinnati,Ohio,23527312,39288631,69416000,132231943,1453000000
FL,00148100,Florida Atlantic University,Florida,22429874,39909756,69874000,132213630,227520000
FL,00151200,Palm Beach State College,Florida,18933435,40897446,71541000,131371881,0
NV,00256900,University Of Nevada,Nevada,23685293,38673077,67843000,130201370,377446000
CA,00132000,"University Of California, Santa Barbara",California,25204196,38078709,66653000,129935905,403000000
NY,00278500,New York University,New York,25626944,37413437,66798000,129838381,4345608000
PR,01171900,Universidad Ana G. Méndez - Gurabo Campus,Puerto Rico,21074293,37352341,70523000,128949634,263000000
TX,00365600,University Of Texas At Arlington,Texas,21177188,38549079,67807000,127533267,159000000
AZ,00108200,Northern Arizona University,Arizona,23577854,37511826,65713000,126802680,192621000
MI,00232500,University Of Michigan,Michigan,25244052,36174408,64414000,125832460,12448817000
IN,00180900,Indiana University ,Indiana,24572922,35998136,63810000,124381058,2486037000
NY,00283700,State University Of New York At Buffalo,New York,23952900,36082991,63486000,123521891,794000000
GA,00157200,Georgia Southern University,Georgia,22748221,36537745,63946000,123231966,56324000
GA,00159800,University Of Georgia,Georgia,23704129,35659597,63171000,122534726,1343987000
VA,00374900,George Mason University,Virginia,20855024,36198204,63918000,120971228,113199000
OH,00305100,Kent State University,Ohio,19307244,36699722,64739000,120745966,141403000
VA,02053000,Liberty University,Virginia,15205124,37777577,66300000,119282701,1587919000
ID,00162500,Brigham Young University Idaho,Idaho,18172623,36367051,63904000,118443674,103000000
WA,00380000,Washington State University,Washington,21768544,34967964,61437000,118173508,1067842000
TX,01038700,El Paso Community College,Texas,16590145,36278737,63448000,116316882,0
IN,00182500,Purdue University,Indiana,22588795,33443017,59507000,115538812,2625278000
IN,00181300,Indiana University - Purdue University Indianapolis,Indiana,20919345,33894635,59581000,114394980,691300000
MD,00210300,"University Of Maryland, College Park",Maryland,21490713,32838845,58245000,112574558,1436000000
FL,00787000,Hillsborough Community College,Florida,16262267,34912041,61096000,112270308,7219000
CA,00124500,Mount San Antonio College,California,17457959,34267707,60168000,111893666,0
IA,00186900,Iowa State University Of Science and Technology,Iowa,21698857,32442265,57329000,111470122,1101709000
NY,00268900,Cuny Hunter College,New York,19006958,33557126,58696000,111260084,136000000
CT,00141700,University Of Connecticut,Connecticut,21500845,32098504,56616000,110215349,462375000
MI,00232900,Wayne State University,Michigan,19306183,32377451,56885000,108568634,394509000
VA,00373500,Virginia Commonwealth University,Virginia,20288998,31937228,56234000,108460226,2042520000
SC,00344800,University Of South Carolina,South Carolina,21415130,31224416,55306000,107945546,788261000
AL,00105100,University Of Alabama,Alabama,20722538,31436739,55688000,107847277,1519595000
NJ,00261700,Montclair State University,New Jersey,19911482,31667908,55356000,106935390,79490000
CA,00114600,"California State University, Chico",California,19959391,31603856,55070000,106633247,62900000
NV,01036200,College Of Southern Nevada,Nevada,14078408,33500005,58831000,106409413,6160000
PA,00337900,University Of Pittsburgh,Pennsylvania,21265340,30614591,54308000,106187931,4311387000
CA,00114100,"California State University, Dominguez Hills",California,18481277,31843563,55383000,105707840,12543000
NH,00258000,Southern New Hampshire University,New Hampshire,5494008,36406842,63789000,105689850,16700000
TX,01201500,Austin Community College,Texas,13907800,32959121,58237000,105103921,0
WV,00382700,West Virginia University,West Virginia,20174232,30727088,54131000,105032320,611300000
PR,00394400,University Of Puerto Rico - Mayaguez,Puerto Rico,19658125,31050892,53894000,104603017,256000000
UT,00367500,University Of Utah,Utah,18725330,30775179,54368000,103868509,1225045000
NY,00283800,State University Of New York At Stony Brook,New York,19710714,30468755,53591000,103770469,265000000
TX,00974100,University Of Texas At Dallas,Texas,19132188,30612137,53908000,103652325,603000000
NC,00292300,East Carolina University,North Carolina,19358758,30548181,53586000,103492939,212566000
PA,00324900,Community College Of Philadelphia,Pennsylvania,16102431,31849546,55421000,103372977,0
NY,00268700,Cuny Brooklyn College,New York,17627330,31206205,54429000,103262535,86100000
FL,00148400,Florida State College At Jacksonville,Florida,14500515,32230437,56479000,103209952,41000000
NM,00266300,University Of New Mexico,New Mexico,17266512,31124648,54682000,103073160,457313000
WI,00389500,University Of Wisconsin,Wisconsin,19783001,29783409,53184000,102750410,3152578000
CA,00132800,University Of Southern California,California,19278560,29961264,53492000,102731824,5732101000
UT,00367700,Utah State University,Utah,17428745,30735450,53875000,102039195,402862000
OH,00310000,Ohio University,Ohio,19475431,29578885,52303000,101357316,580657000
NC,00297600,University Of North Carolina Greensboro,North Carolina,18567881,30132331,52590000,101290212,310300000
OR,00321600,Portland State University,Oregon,16640405,30740104,53908000,101288509,80341000
NY,00269600,New York City College Of Technology Of The City University Of New York,New York,16209328,30860066,53731000,100800394,12000000
TN,00353000,University Of Tennessee,Tennessee,19258313,29330189,51731000,100319502,1354756000
PR,02587500,Universidad Ana G. Méndez - Cupey Campus,Puerto Rico,17052692,29487643,53314000,99854335,263000000
LA,00201000,Louisiana State University Agricultural & Mechanical College,Louisiana,18882288,29264189,51689000,99835477,521800000
CA,00132100,"University Of California, Santa Cruz",California,19327201,28784842,50385000,98497043,215400000
CO,00137000,University Of Colorado,Colorado,18732408,28660299,50917000,98309707,1452722000
MI,00226800,Grand Valley State University,Michigan,18333428,28990835,50943000,98267263,132091000
CA,00126100,Pasadena City College,California,15230050,30076671,52854000,98160721,0
NY,00269000,Cuny Queens College,New York,16736798,29491179,51556000,97783977,85000000
CA,00121900,Long Beach City College,California,14663058,30001059,52555000,97219117,15000000
TN,00351000,Middle Tennessee State University,Tennessee,17299411,28959281,50677000,96935692,105575000
VA,00375400,Virginia Tech,Virginia,19398987,27790518,49426000,96615505,1357969000
TX,00360600,Sam Houston State University,Texas,17468204,28732181,50220000,96420385,116921000
MA,00222100,University Of Massachusetts - Amherst,Massachusetts,18335243,28151583,49744000,96230826,0
CO,00135000,Colorado State University,Colorado,17693711,28296524,50028000,96018235,376063000
NC,00297200,NC State University,North Carolina,17895881,28156562,49914000,95966443,1400655000
WI,00389600,University Of Wisconsin - Milwaukee,Wisconsin,16925665,28243310,50220000,95388975,0
OK,00318400,University Of Oklahoma,Oklahoma,17935530,27880322,49305000,95120852,1736000000
OR,00321300,Portland Community College,Oregon,12538743,29787645,52676000,95002388,0
NY,00727300,Cuny Bernard M. Baruch College,New York,16563226,28496963,49783000,94843189,220000000
MD,00209900,Towson University,Maryland,17335851,27802351,48800000,93938202,83500000
NM,00265700,New Mexico State University,New Mexico,14076359,27692217,51955000,93723576,182676000
MS,00242300,Mississippi State University,Mississippi,17856107,27549415,48318000,93723522,528679000
PR,00710800,University Of Puerto Rico - Rio Piedras Campus,Puerto Rico,16873620,27909114,48778000,93560734,127000000
FL,00152800,St. Petersburg College,Florida,12813482,29077189,50850000,92740671,57400000
KY,00198900,University Of Kentucky,Kentucky,17811058,26729420,47204000,91744478,1407221000
OH,00686700,Columbus State Community College,Ohio,12562800,28667248,50509000,91739048,0
CA,00111800,Bakersfield College,California,12182994,28817459,50541000,91541453,0
NY,00269300,Cuny John Jay College Of Criminal Justice,New York,15320009,27635844,48174000,91129853,0
TN,00350900,University of Memphis,Tennessee,15603749,27375611,47862000,90841360,220800000
NY,00268800,City College Of New York - Cuny,New York,15399906,27101618,47252000,89753524,264000000
OR,00321000,Oregon State University,Oregon,15559998,26602486,46974000,89136484,622473000
NY,01005100,Cuny Laguardia Community College,New York,12917232,27737337,48436000,89090569,6200000
OK,00317000,Oklahoma State University,Oklahoma,16765725,26166701,46027000,88959426,0
CA,03011300,"California State University, San Marcos",California,15963036,26602684,46376000,88941720,27900000
VA,00372800,Old Dominion University,Virginia,15548901,26643627,46649000,88841528,261711000
NC,00297400,University Of North Carolina at Chapel Hill,North Carolina,17295177,25474540,45165000,87934717,3671351000
CA,02226000,East Los Angeles College,California,10797043,27863000,49235000,87895043,0
PR,00394100,Universidad Ana G. Méndez - Carolina Campus,Puerto Rico,14212207,25568181,47479000,87259388,0
CO,00136000,Metropolitan State University Of Denver,Colorado,14390083,26366088,46146000,86902171,0
IA,00189200,University Of Iowa,Iowa,16171354,24985012,44971000,86127366,1578933000
CA,00116300,Chaffey Community College,California,11446484,27096162,47539000,86081646,0
NY,00283500,State University Of New York At Albany,New York,16063982,25189865,44087000,85340847,77700000
IL,00169200,Illinois State University,Illinois,16121422,24967651,43834000,84923073,144435000
CA,00130700,Fresno City College,California,11224898,26689998,46894000,84808896,0
VA,00371200,Tidewater Community College,Virginia,11999956,26394906,46174000,84568862,0
MO,00251600,University Of Missouri,Missouri,16309144,24612553,43572000,84493697,1743142000
NY,00702200,Cuny Lehman College,New York,13293096,25866919,45102000,84262015,0
MI,00233000,Western Michigan University,Michigan,15486304,24878439,43702000,84066743,404653000
NY,00287800,Suffolk County Community College,New York,13179539,25567624,44966000,83713163,0
CA,00116100,Cerritos Community College,California,12186449,25937610,45394000,83518059,0
CA,00123200,American River College,California,10613663,26247243,46362000,83222906,0
OR,00322300,University Of Oregon,Oregon,16095946,24150869,42587000,82833815,912000000
LA,00462500,Delgado Community College,Louisiana,11310381,26068215,45345000,82723596,0
NC,00290600,Appalachian State University,North Carolina,15927932,24036104,42174000,82138036,122400000
NE,00256500,University Of Nebraska,Nebraska,15628700,23871084,42162000,81661784,1435753000
AR,00110800,University Of Arkansas,Arkansas,15454361,23908298,42289000,81651659,1221935000
CA,00113800,"California State University, East Bay",California,14617347,24243652,42317000,81177999,0
CA,00119700,El Camino College,California,11659979,25121457,44176000,80957436,0
CA,00128600,Santa Monica College,California,12193513,24643186,43542000,80378699,0
IL,00173700,Northern Illinois University,Illinois,14825179,23728409,41518000,80071588,80065000
MA,00213000,Boston University,Massachusetts,14995316,23192730,41556000,79744046,2304235000
MS,00244000,University Of Mississippi,Mississippi,16642638,22812460,40263000,79718098,736288000
GA,04142900,Georgia Gwinnett College,Georgia,13470330,24155260,42048000,79673590,0
AL,00100900,Auburn University,Alabama,15645745,23036339,40966000,79648084,792983000
GA,00158500,University Of North Georgia,Georgia,13636481,23881394,41865000,79382875,55600000
KS,00194800,Kansas University,Kansas,15189645,23072146,40884000,79145791,1816931000
CA,00127000,Riverside City College,California,10831532,24611165,43151000,78593697,0
MO,00250300,Missouri State University,Missouri,13855674,23441360,41239000,78536034,145800000
NJ,00260900,Rowan University,New Jersey,14471695,23165569,40676000,78313264,232094000
UT,00368000,Weber State University,Utah,11714226,24098981,42489000,78302207,150522000
MI,00225900,Eastern Michigan University,Michigan,13733990,23256060,40832000,77822050,78171000
IN,00178600,Ball State University,Indiana,15246930,22465635,39765000,77477565,212834000
UT,00522000,Salt Lake Community College,Utah,10647873,24130769,42580000,77358642,0
OH,00312300,University Of Akron,Ohio,14151817,22879071,40198000,77228888,235962000
IL,00167100,Depaul University,Illinois,14373219,22684440,39976000,77033659,696452000
TX,02361400,Collin County Community College,Texas,10790912,23826101,42319000,76936013,0
MI,00224300,Central Michigan University,Michigan,14322194,22642806,39780000,76745000,189322000
NC,00290500,North Carolina Agricultural & Technical State University,North Carolina,14103628,22848969,39774000,76726597,73800000
NY,00269700,Queensborough Community College-Cuny,New York,11321080,23701583,41362000,76384663,0
NJ,00262200,Kean University,New Jersey,13509139,22855391,39893000,76257530,0
NV,00256800,"University Of Nevada , Reno",Nevada,14244534,22437606,39517000,76199140,367500000
CA,00799300,"California State University, Bakersfield",California,13588942,22855632,39754000,76198574,25474000
MI,00230700,Oakland University,Michigan,13796824,22347727,39264000,75408551,99399000
TX,00360900,San Jacinto Community College District,Texas,8950463,23826057,42022000,74798520,0
MD,00691100,Montgomery College,Maryland,10995749,23080761,40556000,74632510,0
PA,00325600,Drexel University,Pennsylvania,13179268,21945057,39438000,74562325,813685000
NY,00269800,College Of Staten Island/Cuny,New York,12595956,22565946,39350000,74511902,0
OH,00304000,Cuyahoga Community College,Ohio,10027370,23257012,40795000,74079382,0
CA,00115700,"California State University, Stanislaus",California,13314715,22007207,38261000,73582922,0
RI,00340400,Johnson & Wales University,Rhode Island,14182680,21525278,37558000,73265958,0
TX,00363000,Prairie View Agricultural & Mechanical University,Texas,13752928,21681605,37676000,73110533,0
OH,00313100,University Of Toledo,Ohio,13547254,21572302,37917000,73036556,454114000
TX,03026500,Remington College,Texas,13408868,21585012,37725000,72718880,0
MS,00244100,University Of Southern Mississippi,Mississippi,13506042,21475374,37492000,72473416,104878000
AZ,00726600,Pima County Community College,Arizona,9989049,22597292,39694000,72280341,0
NY,00287300,Nassau Community College,New York,12022119,21854649,38330000,72206768,0
NC,00291500,Central Piedmont Community College,North Carolina,10787553,22154356,38852000,71793909,0
CA,00114300,California Polytechnic State University,California,14095976,20752799,36681000,71529775,227700000
OH,00301800,Bowling Green State University,Ohio,13163417,21124710,37162000,71450127,149438000
MA,00222200,University Of Massachusetts - Boston,Massachusetts,12184652,21381281,37440000,71005933,0
NY,00269400,Kingsborough Commmunity College/Cuny,New York,10156521,22157742,38688000,71002263,0
NC,00484400,Wake Technical Community College,North Carolina,10390849,21750983,38154000,70295832,0
RI,00340800,Community College Of Rhode Island,Rhode Island,10000569,21958065,38309000,70267634,0
FL,00148000,Florida Agricultural & Mechanical University,Florida,13051325,20845563,36273000,70169888,95600000
PR,00393600,Pontifical Catholic University Of Puerto Rico (The),Puerto Rico,12669949,20974546,36417000,70061495,0
SC,00342500,Clemson University,South Carolina,13579995,20323247,36093000,69996242,774514000
NY,00283600,Binghamton University,New York,13607332,20273531,35679000,69559863,0
CA,00111300,Antelope Valley College,California,10245691,21580696,37647000,69473387,0
LA,00203100,University Of Louisiana At Lafayette,Louisiana,12686007,20614028,36119000,69419035,153000000
NY,00269200,Cuny Bronx Community College,New York,9658626,21655807,37641000,68955433,0
KY,00199900,University Of Louisville,Kentucky,12478790,20434285,36008000,68921075,719816000
OH,00307700,Miami University,Ohio,12989033,19996909,35489000,68474942,560965000
NM,00474200,Central New Mexico Community College,New Mexico,9305433,21404465,37661000,68370898,0
CA,04127100,"University Of California, Merced",California,13037897,20217509,35115000,68370406,0
TX,00363400,Texas State Technical College,Texas,9965155,21292313,37108000,68365468,0
MD,00206300,Community College Of Baltimore County,Maryland,9349870,21419784,37525000,68294654,0
OH,00303200,Cleveland State University,Ohio,12226765,20280093,35553000,68059858,0
ID,00161600,Boise State University,Idaho,10937516,20644600,36458000,68040116,115056000
AL,00105200,University Of Alabama At Birmingham,Alabama,12131256,20190148,35527000,67848404,537300000
NY,00282300,Saint John'S University,New York,12191880,20127659,35491000,67810539,0
PA,00327300,Harrisburg Area Community College,Pennsylvania,9105781,21319018,37300000,67724799,0
KS,00192800,Kansas State University,Kansas,12686554,19845018,35036000,67567572,510300000
TX,00354900,Blinn College,Texas,14141911,19342202,33875000,67359113,0
MI,00890600,Macomb Community College,Michigan,9617297,20872067,36647000,67136364,0
FL,00984100,University Of North Florida,Florida,11770196,20011442,35124000,66905638,116186000
CA,00124000,Modesto Junior College,California,9575504,20615809,36120000,66311313,0
IL,00665600,College Of Du Page,Illinois,9100886,20581172,36504000,66186058,0
CA,00120100,Fullerton College,California,9700734,20180789,35604000,65485523,0
WI,00386600,Milwaukee Area Technical College,Wisconsin,8505373,20700673,36160000,65366046,0
TX,00364200,Texas Southern University,Texas,11796898,19514520,33957000,65268418,59400000
MS,00240700,Hinds Community College,Mississippi,10520779,19910506,34710000,65141285,0
CA,00124600,Mt. San Jacinto College,California,9713109,20043399,35128000,64884508,0
NY,00271100,Cornell University,New York,12800980,18512730,33049000,64362710,7328241000
OK,00315200,University Of Central Oklahoma,Oklahoma,11170390,19306609,33801000,64277999,0
MA,00219900,Northeastern University,Massachusetts,11648813,18744880,33705000,64098693,1055474000
NY,00270700,Columbia University In The City Of New York,New York,12830199,18314873,32952000,64097072,10950738000
NY,00287200,Monroe Community College,New York,9166962,19927127,34921000,64015089,0
FL,00149300,Indian River State College,Florida,9553094,19691247,34501000,63745341,0
CA,00129400,Southwestern Community College District,California,9253264,19762638,34712000,63727902,0
CO,00450800,University Of Colorado Denver,Colorado,10184083,19226923,34108000,63519006,593000000
PA,00332800,West Chester University Of Pennsylvania,Pennsylvania,11992115,18645808,32820000,63457923,0
MO,00247100,Saint Louis Community College,Missouri,8727263,19785083,34748000,63260346,0
LA,00202400,Southeastern Louisiana University,Louisiana,10580284,18997836,33266000,62844120,0
CA,00120300,Glendale Community College,California,10056959,19042328,33367000,62466287,0
KY,00200200,Western Kentucky University,Kentucky,10636493,18748413,32954000,62338906,175186000
FL,03255300,Florida Gulf Coast University,Florida,11143620,18572907,32567000,62283527,84600000
DE,00143100,University Of Delaware,Delaware,12174809,18010638,32080000,62265447,1466070000
MI,00227000,Henry Ford College,Michigan,9153117,19312149,33712000,62177266,0
FL,00147700,Florida Southwestern State College,Florida,9178997,19237570,33689000,62105567,0
CA,00123300,Sacramento City College,California,7946038,19563511,34491000,62000549,0
GA,00160100,University Of West Georgia,Georgia,10881459,18585785,32491000,61958244,0
WA,00380200,Western Washington University,Washington,11641693,18228534,31969000,61839227,77349000
VA,00372100,James Madison University,Virginia,12080658,17880192,31758000,61718850,111065000
AL,00105700,University Of South Alabama,Alabama,11408535,18170202,31876000,61454737,383512000
DE,01172700,Delaware Technical Community College,Delaware,9008399,19085686,33348000,61442085,0
KY,00196300,Eastern Kentucky University,Kentucky,10542767,18411187,32230000,61183954,69139000
AZ,00107600,Glendale Community College,Arizona,8301836,19156542,33641000,61099378,0
TX,00363100,Tarleton State University,Texas,10893519,18126764,31698000,60718283,0
MO,00248400,Metropolitan Community College,Missouri,8709049,18839455,33027000,60575504,0
TN,00348700,East Tennessee State University,Tennessee,11096758,17943833,31435000,60475591,0
NE,00255400,University Of Nebraska At Omaha,Nebraska,10759273,18001689,31576000,60336962,71600000
TN,00347800,Austin Peay State University,Tennessee,9687866,18455648,32177000,60320514,0
HI,00161000,University Of Hawaii At Manoa,Hawaii,11009867,17701585,31212000,59923452,327000000
RI,00341400,University Of Rhode Island,Rhode Island,11238683,17440405,30786000,59465088,149154000
TX,00361200,University Of Houston - Downtown,Texas,9456650,18182989,31758000,59397639,0
FL,00147000,Eastern Florida State College,Florida,8816361,18346823,32087000,59250184,0
CA,00125000,Orange Coast College,California,9120468,18102486,31971000,59193954,0
NH,00258900,University Of New Hampshire,New Hampshire,11647555,17118551,30232000,58998106,803867000
VA,00374500,University Of Virginia,Virginia,11716710,16866806,30229000,58812516,7058235000
OK,00976300,Tulsa Community College,Oklahoma,7980293,18390355,32212000,58582648,0
OH,00314500,Youngstown State University,Ohio,10376462,17353182,30357000,58086644,279778000
OH,00307800,Wright State University,Ohio,10140846,17372092,30558000,58070938,97080000
NY,00284200,Suny College At Buffalo,New York,10484417,17271471,30077000,57832888,0
NY,00288200,Syracuse University,New York,9920122,17139335,30741000,57800457,1392691000
OH,00311900,Sinclair Community College,Ohio,7434204,18192393,32046000,57672597,30718000
TX,00362400,Stephen F Austin State University,Texas,10525078,17133422,29973000,57631500,0
FL,00152000,Seminole State College Of Florida,Florida,8150059,17960733,31497000,57607792,0
MA,01121000,Bunker Hill Community College,Massachusetts,8310307,17939271,31347000,57596578,0
NY,00280600,Rochester Institute Of Technology,New York,10380480,17026233,29972000,57378713,944883000
NC,00298400,University Of North At Carolina Wilmington (The),North Carolina,10566053,16948600,29804000,57318653,104000000
CA,00118600,College Of The Sequoias,California,8630859,17686139,30894000,57210998,0
TX,00916300,San Antonio College,Texas,7648254,17950364,31537000,57135618,0
PA,00323100,Community College Of Allegheny County,Pennsylvania,7987479,17789944,31264000,57041423,0
AZ,00107700,Mesa Community College,Arizona,7352103,17795363,31352000,56499466,0
GA,00156900,Georgia Institute Of Technology,Georgia,10388077,16463107,29480000,56331184,2169005000
WA,00377500,Eastern Washington University,Washington,9986299,16721122,29327000,56034421,24195000
TX,00965100,Texas A&M International University,Texas,9501756,16965643,29504000,55971399,0
TX,01116100,Texas A&M University - Corpus Christi,Texas,10105662,16650317,29147000,55902979,0
MT,00253200,Montana State University,Montana,10560079,16378060,28909000,55847139,180168000
CA,00133500,Victor Valley Community College,California,8067843,17276235,30171000,55515078,0
NJ,01295400,Hudson County Community College,New Jersey,8467661,17156604,29847000,55471265,0
CA,00122600,Los Angeles Pierce College,California,7694796,17269929,30374000,55338725,0
CA,00126000,Palomar College,California,7702862,17131625,30395000,55229487,0
MO,03083000,Ozarks Technical Community College,Missouri,7950662,17034808,29731000,54716470,0
NJ,00262500,William Paterson University Of New Jersey,New Jersey,9763356,16326775,28497000,54587131,0
CA,00114900,Humboldt State University,California,10302998,16130016,28056000,54489014,30294000
NJ,00473600,Bergen Community College,New Jersey,8461418,16666659,29228000,54356077,0
TX,00354500,Baylor University,Texas,10777489,15704656,27828000,54310145,1340417000
CA,00128000,San Joaquin Delta College,California,7835430,16847806,29616000,54299236,0
IA,00712000,Des Moines Area Community College,Iowa,7345999,16915417,30001000,54262416,0
IN,00180700,Indiana State University,Indiana,9566914,16123384,28215000,53905298,67714000
MI,00226000,Ferris State University,Michigan,9146813,16169673,28320000,53636486,87355000
MD,01164400,University Of Maryland Global Campus,Maryland,5210563,17500109,30845000,53555672,0
AL,00104700,Troy University,Alabama,8544084,16265960,28482000,53292044,129192000
IL,00171000,Loyola University,Illinois,10043948,15534548,27467000,53045496,692166000
GA,00159900,Valdosta State University,Georgia,9331398,15904262,27784000,53019660,0
NE,01258600,Metropolitan Community College,Nebraska,5767395,14067027,24786000,44620422,0
CA,00129000,Sierra College,California,7595581,16340166,28802000,52737747,0
NJ,00934500,Stockton University,New Jersey,10041238,15511416,27132000,52684654,0
MI,00230300,Oakland Community College,Michigan,7474366,16298327,28758000,52530693,0
SC,00345100,Coastal Carolina University,South Carolina,10054347,15415915,26975000,52445262,51483000
IL,00175900,Southern Illinois University Edwardsville,Illinois,9678393,15509840,27230000,52418233,26568000
CO,00889600,Pikes Peak Community College,Colorado,7543778,16312451,28549000,52405229,0
FL,00147500,Daytona State College,Florida,7681731,16243172,28420000,52344903,0
PA,00327700,Indiana University Of Pennsylvania,Pennsylvania,10050461,15342227,26877000,52269688,7615000
CA,00450200,City College Of San Francisco,California,7009874,16223115,28984000,52216989,0
AR,00109000,Arkansas State University,Arkansas,9258158,15575949,27357000,52191107,0
AR,00109200,University Of Central Arkansas,Arkansas,9604924,15456600,27055000,52116524,0
TN,00352200,Tennessee State University,Tennessee,7214661,13306383,31435000,51956044,0
LA,00202500,Southern University And Agricultural & Mechanical Colg At Baton Rouge,Louisiana,9396803,15459340,26887000,51743143,0
MA,00216100,University Of Massachusetts - Lowell,Massachusetts,8900322,15481101,27285000,51666423,100000000
CA,00126900,Rio Hondo Community College,California,6232775,16317598,28860000,51410373,0
NC,00483800,Guilford Technical Community College,North Carolina,8260390,15718356,27393000,51371746,0
CO,00793300,Front Range Community College,Colorado,7046470,16023686,28248000,51318156,0
MI,00923000,Wayne County Community College District,Michigan,6158090,16399714,28688000,51245804,0
MD,00210500,University Maryland,Maryland,9315657,15200168,26720000,51235825,0
NY,00861100,"Cuny, Hostos Community College",New York,7267430,16037693,27864000,51169123,0
